MP,Party,PGroup,Constituency,Gender,Advice,BooksArticles,Job,Speeches,Survey,TVRadio,Uncategorised,Total,Party_Conservative,Party_Labour,Party_Liberal.Democrat,Party_Other,Party_Scottish.National.Party,ons_id,ons_region_id,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,conp,labp,majp,birth_date,email,family_name,gender,given_name,id,image,sort_name,honorific_prefix,death_date,dob,age,wiki,alma,oxbridge,totalfit,confit,labfit,xcentre,ycentre
Philip Davies,Conservative,Conservative,Shipley,Male,0,0,0,0,2225,0,200,2425,1,0,0,0,0,E14000925,E12000003,West Yorkshire,Yorkshire and The Humber,England,County,09/06/2017 04:22,Con hold,Con,Lab,73133,53395,138,4681,27417,22736,2202,0,0,0,0,0,0,0,0,0,1040,0,0.513475044,0.42580766,8.7667385,05/01/1972,daviesp@parliament.uk,Davies,male,Philip,78372dbe-05ee-48fa-b3d9-c936506151a6,https://candidates.democracyclub.org.uk/media/images/551599bf4fb3d15c51926dcf.png,"Davies, Philip",NA,NA,05/01/1972,49,https://en.wikipedia.org/wiki/Philip_Davies,University of Huddersfield,FALSE,3235.260857,5217.228747,NA,-2.195521903,55.23197719
Bob Blackman,Conservative,Conservative,Harrow East,Male,0,0,0,0,2400,0,0,2400,1,0,0,0,0,E14000731,E12000007,London,London,England,Borough,09/06/2017 03:39,Con hold,Con,Lab,71755,50845,142,1757,25129,23372,1573,0,771,0,0,0,0,0,0,0,0,0,0.494227554,0.459671551,3.4556004,26/04/1956,bob.blackman.mp@parliament.uk,Blackman,male,Bob,6dda191c-7471-409d-a254-4f229ef684c6,https://candidates.democracyclub.org.uk/media/images/5517f466249b917507bee50e.png,"Blackman, Bob",NA,NA,26/04/1956,65,https://en.wikipedia.org/wiki/Bob_Blackman,University of Liverpool (BSc),FALSE,3036.102914,4427.702291,NA,-1.651868975,52.20580955
James Gray,Conservative,Conservative,North Wiltshire,Male,0,0,0,0,1920,0,475,2395,1,0,0,0,0,E14000860,E12000009,Wiltshire,South West,England,County,09/06/2017 03:20,Con hold,Con,LD,71408,53706,91,22877,32398,9399,9521,871,1141,0,0,0,0,0,0,0,376,0,0.603247309,0.175008379,42.5967303,07/11/1954,jamesgraymp@parliament.uk,Gray,male,James,6736be06-ae65-4776-9820-36727caa6776,https://candidates.democracyclub.org.uk/media/images/55043c451b7be75c206f17da.png,"Gray, James",NA,NA,07/11/1954,67,https://en.wikipedia.org/wiki/James_Gray_(British_politician),"University of GlasgowChrist Church, Oxford",TRUE,4849.147132,14837.10433,NA,-3.554664341,51.71315375
Rupa Huq,Labour,Labour,Ealing Central And Acton,Female,0,386.41,0,0,1035,0,900,2321.41,0,1,0,0,0,E14000674,E12000007,London,London,England,Borough,09/06/2017 02:06,Lab hold,Lab,Con,74200,55342,191,13807,19230,33037,3075,0,0,0,0,0,0,0,0,0,0,0,0.347475697,0.596960717,24.948502,02/03/1972,rupa.huq.mp@parliament.uk,NA,female,Rupa,7da1b23f-c310-4ace-a751-ad4f35510859,https://candidates.democracyclub.org.uk/media/images/5481e7f4b150e238702c0589.png,"Huq, Dr Rupa",NA,NA,02/03/1972,49,https://en.wikipedia.org/wiki/Rupa_Huq,"Newnham College, CambridgeUniversity of East LondonMarc Bloch University",TRUE,3926.250366,NA,1481.69896,-1.380040571,51.71315375
Alex Cunningham,Labour,Labour,Stockton North,Male,0,0,0,0,2265,0,0,2265,0,1,0,0,0,E14000970,E12000001,Cleveland,North East,England,Borough,09/06/2017 01:14,Lab hold,Lab,Con,66285,42731,74,8715,15589,24304,646,1834,358,0,0,0,0,0,0,0,0,0,0.364817112,0.568767405,20.3950294,01/05/1955,alex.cunningham.mp@parliament.uk,Cunningham,male,Alex,f6d88867-c9b8-4a00-81a0-3f8ca5cc2d45,https://candidates.democracyclub.org.uk/media/images/553baab0a8c0192f732ca8d1.png,"Cunningham, Alex",NA,NA,01/05/1955,66,https://en.wikipedia.org/wiki/Alex_Cunningham,Darlington Technical College,FALSE,3718.103323,NA,1447.468999,-1.923695557,55.68528453
Julian Knight,Conservative,Conservative,Solihull,Male,0,0,0,0,800,0,1249.15,2049.15,1,0,0,0,0,E14000931,E12000005,West Midlands,West Midlands,England,Borough,09/06/2017 02:43,Con hold,Con,Lab,77789,56748,120,20571,32985,12414,8901,1291,1157,0,0,0,0,0,0,0,0,0,0.581253965,0.218756608,36.2497357,05/01/1972,julian.knight.mp@parliament.uk,Knight,male,Julian,fc56017c-ab67-46b5-af83-f9763af5faa9,https://candidates.democracyclub.org.uk/media/images/5481e768b150e238702c0523.png,"Knight, Julian",NA,NA,05/01/1972,49,https://en.wikipedia.org/wiki/Julian_Knight_(politician),University of Hull,FALSE,4494.599392,12195.20825,NA,-2.739178864,52.98283271
Alex Sobel,Labour,Labour,Leeds North West,Male,0,0,0,0,2030,0,0,2030,0,1,0,0,0,E14000780,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,09/06/2017 04:04,Lab gain from LD,Lab,LD,68152,46287,97,4224,9097,20416,16192,0,582,0,0,0,0,0,0,0,0,0,0.196534664,0.441074168,9.1256724,26/04/1975,alex.sobel.mp@parliament.uk,NA,male,Alex,133764d1-879b-4397-a74a-8061602548ba,https://upload.wikimedia.org/wikipedia/commons/5/51/Official_portrait_of_Alex_Sobel_crop_2.jpg,"Sobel, Alex",NA,NA,26/04/1975,46,https://en.wikipedia.org/wiki/Alex_Sobel,University of Leeds,FALSE,3249.182186,NA,1366.115328,-1.923695557,55.32305614
Philip Dunne,Conservative,Conservative,Ludlow,Male,0,0,2028.25,0,0,0,0,2028.25,1,0,0,0,0,E14000799,E12000005,Shropshire,West Midlands,England,County,09/06/2017 04:29,Con hold,Con,Lab,68034,49970,140,19286,31433,12147,5336,0,1054,0,0,0,0,0,0,0,0,0,0.629037422,0.243085852,38.5951571,14/08/1958,philip.dunne.mp@parliament.uk,Dunne,male,Philip,809a2a10-d0c8-4af6-9d90-fb76b9ef81d0,https://candidates.democracyclub.org.uk/media/images/55322ded29c5d53959d9e44b.png,"Dunne, Mr Philip",NA,NA,14/08/1958,63,https://en.wikipedia.org/wiki/Philip_Dunne_(Ludlow_MP),"Keble College, Oxford",TRUE,4622.491214,13111.68753,NA,-2.739178864,54.12266095
Thangam Debbonaire,Labour,Labour,Bristol West,Female,0,0,0,0,2020,0,0,2020,0,1,0,0,0,E14000602,E12000009,Avon,South West,England,Borough,09/06/2017 02:56,Lab hold,Lab,Con,93003,71608,174,37336,9877,47213,5201,0,9216,0,0,0,0,0,0,0,101,0,0.137931516,0.659325774,52.1394258,03/08/1966,thangam.debbonaire.mp@parliament.uk,NA,female,NA,056b3f3e-d0f1-4b6c-b88b-481c72dfc516,https://candidates.democracyclub.org.uk/media/images/images/4281.png,"Debbonaire, Thangam",NA,NA,03/08/1966,55,https://en.wikipedia.org/wiki/Thangam_Debbonaire,University of OxfordUniversity of Bristol,TRUE,5435.534713,NA,1703.627345,-4.37014495,51.21507325
Sammy Wilson,Other,Other,East Antrim,Male,0,0,0,1000,1020,0,0,2020,0,0,0,1,0,N06000005,N92000002,Northern Ireland,Northern Ireland,Northern Ireland,County,09/06/2017 02:51,DUP hold,DUP,Alliance,62908,38143,126,15923,963,0,0,0,0,0,0,21873,3555,1278,4524,5950,0,0,0.025247096,0,41.7455365,04/04/1953,barronj@parliament.uk,Wilson,male,Sammy,766cc099-ff5a-4149-b183-1a1423fba157,https://candidates.democracyclub.org.uk/media/images/5534f702b247335574a42e34.png,"Wilson, Sammy",NA,NA,04/04/1953,68,https://en.wikipedia.org/wiki/Sammy_Wilson_(politician),Queen's University Belfast,FALSE,4800.021437,NA,NA,-6.001111107,55.4139249
Kate Hoey,Labour,Labour,Vauxhall,Female,0,1000,0,1000,0,0,0,2000,0,1,0,0,0,E14001008,E12000007,London,London,England,Borough,09/06/2017 03:50,Lab hold,Lab,LD,82055,55042,164,20250,10277,31576,11326,0,1152,0,0,0,0,0,0,0,711,0,0.186711965,0.573671015,36.7900876,21/06/1946,hoeyk@parliament.uk,Hoey,female,Kate,eeaa59eb-d9df-4780-9dd0-a0a887848c89,https://candidates.democracyclub.org.uk/media/images/55321d5029c5d53959d9e442.png,"Hoey, Kate",NA,NA,21/06/1946,75,https://en.wikipedia.org/wiki/Kate_Hoey,University of Ulster London Guildhall University,FALSE,4523.746547,NA,1574.553814,-0.564555628,51.61397278
Penny Mordaunt,Conservative,Conservative,Portsmouth North,Female,0,0,0,0,0,2000,0,2000,1,0,0,0,0,E14000883,E12000008,Hampshire,South East,England,Borough,09/06/2017 03:21,Con hold,Con,Lab,71374,47210,77,9965,25860,15895,2608,1926,791,0,0,0,0,0,0,0,130,0,0.547765304,0.336687143,21.1078161,04/03/1973,penny.mordaunt.mp@parliament.uk,Mordaunt,female,Penny,e7ae595e-131b-4e98-ab01-ba3437a56cfd,https://candidates.democracyclub.org.uk/media/images/images/1692.png,"Mordaunt, Penny",The Right Honourable,NA,04/03/1973,48,https://en.wikipedia.org/wiki/Penny_Mordaunt,University of Reading,FALSE,3749.942223,7638.790411,NA,-1.923695557,50.91361064
John Martin McDonnell,Labour,Labour,Hayes And Harlington,Male,0,2000,0,0,0,0,0,2000,0,1,0,0,0,E14000737,E12000007,London,London,England,Borough,09/06/2017 03:10,Lab hold,Lab,Con,73268,47802,118,18115,13681,31796,601,1153,571,0,0,0,0,0,0,0,0,0,0.286201414,0.665160454,37.8959039,08/09/1951,mcdonnellj@parliament.uk,McDonell,male,John,1a69ee3e-f193-42f5-8da3-ae8a4a6d4aa5,https://candidates.democracyclub.org.uk/media/images/55356e59367dc5383f552cb1.png,"McDonnell, John",The Right Honourable,NA,08/09/1951,70,https://en.wikipedia.org/wiki/John_McDonnell,"Brunel UniversityBirkbeck, University of London",FALSE,4583.986005,NA,1583.516595,-1.923695557,51.71315375
Jim Fitzpatrick,Labour,Labour,Poplar And Limehouse,Male,0,0,0,0,1445,500,50,1995,0,1,0,0,0,E14000882,E12000007,London,London,England,Borough,09/06/2017 05:00,Lab hold,Lab,Con,87331,58814,277,27712,11846,39558,3959,849,989,0,0,0,0,0,0,0,1613,0,0.201414629,0.67259496,47.1180331,04/04/1952,jim.fitzpatrick.mp@parliament.uk,Fitzpatrick,male,Jim,125d302b-ea01-44c7-80c5-bae93f6aca9d,https://candidates.democracyclub.org.uk/media/images/images/2884.png,"Fitzpatrick, Jim",NA,NA,04/04/1952,69,https://en.wikipedia.org/wiki/Jim_Fitzpatrick_(politician),NA,NA,5118.642117,NA,1660.277947,0.250925764,51.91086655
Anneliese Dodds,Labour,Labour,Oxford East,Female,0,575.84,0,0,0,0,1418.01,1993.85,0,1,0,0,0,E14000873,E12000008,Oxfordshire,South East,England,Borough,09/06/2017 01:55,Lab hold,Lab,Con,78350,53896,90,23284,11834,35118,4904,0,1785,0,0,0,0,0,0,0,255,0,0.219571026,0.651588244,43.2017218,16/03/1978,anneliese.dodds.mp@parliament.uk,Dodds,female,Anneliese,9623656a-f3cf-4286-a6cf-68cf41d417f0,https://upload.wikimedia.org/wikipedia/commons/f/f6/Official_portrait_of_Anneliese_Dodds_crop_2.jpg,"Dodds, Anneliese",NA,NA,16/03/1978,43,https://en.wikipedia.org/wiki/Anneliese_Dodds,"St. Hilda's College, Oxford (BA)University of Edinburgh (MA)London School of Economics and Political Science (PhD)",TRUE,4884.368905,NA,1627.235721,-1.923695557,52.49880839
Peter Dowd,Labour,Labour,Bootle,Male,0,0,0,0,1915,0,0,1915,0,1,0,0,0,E14000581,E12000002,Merseyside,North West,England,Borough,09/06/2017 02:21,Lab hold,Lab,Con,72872,50288,163,36200,6059,42259,837,0,709,0,0,0,0,0,0,0,424,0,0.120486001,0.840339644,71.9853643,20/06/1957,peter.dowd.mp@parliament.uk,Dowd,male,Peter,672226f9-9ac0-40b5-a6d9-2db1b09fcbb7,https://candidates.democracyclub.org.uk/media/images/553bac05a8c0192f732ca8d3.png,"Dowd, Peter",NA,NA,20/06/1957,64,https://en.wikipedia.org/wiki/Peter_Dowd,Hugh Baird CollegeUniversity of LiverpoolLancaster University,FALSE,6892.033043,NA,1886.321089,-4.641973564,54.40283454
John Mann,Labour,Labour,Bassetlaw,Male,0,500,0,1000,0,0,350,1850,0,1,0,0,0,E14000546,E12000004,Nottinghamshire,East Midlands,England,County,09/06/2017 03:52,Lab hold,Lab,Con,78540,52250,127,4852,22615,27467,1154,0,0,0,0,0,0,0,0,0,1014,0,0.432822967,0.525684211,9.2861244,10/01/1960,john.mann.mp@parliament.uk,Mann,male,John,74653615-32e9-49d8-968c-b456d5371ebc,https://candidates.democracyclub.org.uk/media/images/55356c4f367dc5383f552cae.png,"Mann, John",NA,NA,10/01/1960,61,https://en.wikipedia.org/wiki/John_Mann_(British_politician),University of Manchester,FALSE,3255.424708,NA,1367.240918,-0.836384233,54.58856075
David Hanson,Labour,Labour,Delyn,Male,0,0,0,0,1655,0,150,1805,0,1,0,0,0,W07000042,W92000004,Clwyd,Wales,Wales,County,09/06/2017 02:07,Lab hold,Lab,Con,54090,39418,69,4240,16333,20573,1031,0,0,0,1481,0,0,0,0,0,0,0,0.414353848,0.52191892,10.7565072,05/07/1957,david.hanson.mp@parliament.uk,Hanson,male,David,7792da6d-e9cb-4489-a7f7-01fbc3821d7b,https://candidates.democracyclub.org.uk/media/images/55356ec9367dc5383f552cb4.png,"Hanson, David",NA,NA,05/07/1957,64,https://en.wikipedia.org/wiki/David_Hanson_(politician),University of Hull,FALSE,3313.192701,NA,1377.599124,-4.098316465,53.46149363
Eddie Hughes,Conservative,Conservative,Walsall North,Male,0,0,0,0,1805,0,0,1805,1,0,0,0,0,E14001011,E12000005,West Midlands,West Midlands,England,Borough,09/06/2017 02:52,Con gain from Lab,Con,Lab,67308,38118,78,2601,18919,16318,586,2295,0,0,0,0,0,0,0,0,0,0,0.496327195,0.428091715,6.8235479,03/10/1968,eddie.hughes.mp@parliament.uk,Hughes,male,Eddie,231509cf-3161-4898-b6b2-b675194396ee,https://upload.wikimedia.org/wikipedia/commons/1/15/Official_portrait_of_Eddie_Hughes_crop_2.jpg,"Hughes, Eddie",NA,NA,03/10/1968,53,https://en.wikipedia.org/wiki/Eddie_Hughes_(British_politician),University of Glamorgan,FALSE,3160.922859,4913.233297,NA,-2.739178864,53.93481839
Neil Coyle,Labour,Labour,Bermondsey And Old Southwark,Male,0,400,0,500,575,0,300,1775,0,1,0,0,0,E14000553,E12000007,London,London,England,Borough,09/06/2017 04:46,Lab hold,Lab,LD,87282,58521,148,12972,7581,31161,18189,838,639,0,0,0,0,0,0,0,113,0,0.129543241,0.532475522,22.1664018,30/12/1978,neil.coyle.mp@parliament.uk,Coyle,male,Neil,bae8c507-5460-4dfc-b00f-04a9804f6bf1,https://candidates.democracyclub.org.uk/media/images/5481e7a4b150e238702c0551.png,"Coyle, Neil",NA,NA,30/12/1978,42,https://en.wikipedia.org/wiki/Neil_Coyle,University of Hull,FALSE,3797.731164,NA,1460.689996,-0.292727345,51.91086655
Michael Tomlinson,Conservative,Conservative,Mid Dorset And North Poole,Male,0,0,0,0,1125,0,551.85,1676.85,1,0,0,0,0,E14000815,E12000009,Dorset,South West,England,County,09/06/2017 04:23,Con hold,Con,LD,65050,48254,145,15339,28585,6423,13246,0,0,0,0,0,0,0,0,0,0,0,0.592386123,0.133108136,31.7880383,01/10/1977,michael.tomlinson.mp@parliament.uk,Tomlinson,male,Michael,114f8760-536c-4e1b-81c3-6197263b1b29,https://candidates.democracyclub.org.uk/media/images/5481e74bb150e238702c050c.png,"Tomlinson, Michael",NA,NA,01/10/1977,44,https://en.wikipedia.org/wiki/Michael_Tomlinson,King's College London,FALSE,4260.99722,10624.90386,NA,-4.098316465,50.71154521
Steve Pound,Labour,Labour,Ealing North,Male,0,0,0,0,0,0,1620,1620,0,1,0,0,0,E14000675,E12000007,London,London,England,Borough,09/06/2017 02:41,Lab hold,Lab,Con,74764,52516,152,19693,14942,34635,1275,921,743,0,0,0,0,0,0,0,0,0,0.284522812,0.659513291,37.4990479,03/07/1948,stevepoundmp@parliament.uk,Pound,male,Stephen,c6c1a0e6-1d18-433c-a225-f0673c923e15,https://candidates.democracyclub.org.uk/media/images/55322ed829c5d53959d9e44c.png,"Pound, Stephen",NA,NA,03/07/1948,73,https://en.wikipedia.org/wiki/Stephen_Pound,London School of Economics,FALSE,4562.275502,NA,1580.294173,-1.651868975,51.81211826
John Howell,Conservative,Conservative,Henley,Male,0,0,1600,0,0,0,0,1600,1,0,0,0,0,E14000742,E12000008,Oxfordshire,South East,England,County,09/06/2017 04:55,Con hold,Con,Lab,74997,57099,119,22294,33749,11455,8485,1154,1864,0,0,0,0,0,0,0,392,0,0.591061139,0.200616473,39.0444666,27/07/1955,howelljm@parliament.uk,Howell,male,John,8f796b06-116d-404e-a0c8-bbfd53d90edb,https://candidates.democracyclub.org.uk/media/images/images/1682_JfJPNqx.png,"Howell, John",NA,NA,27/07/1955,66,https://en.wikipedia.org/wiki/John_Howell_(politician),"University of Edinburgh (BA)St John's College, Oxford (DPhil)",TRUE,4647.403495,13294.96321,NA,-3.011007437,51.91086655
Mike Gapes,Labour,Labour,Ilford South,Male,0,0,0,0,1600,0,0,1600,0,1,0,0,0,E14000760,E12000007,London,London,England,Borough,09/06/2017 05:33,Lab hold,Lab,Con,85358,57657,146,31647,12077,43724,772,477,542,0,0,0,0,0,0,0,65,0,0.209462858,0.758346775,54.8883917,04/09/1952,mike.gapes.mp@parliament.uk,NA,male,Mike,d158aff6-dca6-4c76-a012-bb4a830e2049,https://candidates.democracyclub.org.uk/media/images/560c82e3fef9b316124025a4.png,"Gapes, Mike",NA,NA,04/09/1952,69,https://en.wikipedia.org/wiki/Mike_Gapes,"Fitzwilliam College, CambridgeMiddlesex Polytechnic",TRUE,5617.251945,NA,1727.836562,0.250925764,52.303692
Ruth George,Labour,Labour,High Peak,Female,0,0,0,0,1590,0,0,1590,0,1,0,0,0,E14000748,E12000004,Derbyshire,East Midlands,England,County,09/06/2017 02:43,Lab gain from Con,Lab,Con,73248,53853,160,2322,24431,26753,2669,0,0,0,0,0,0,0,0,0,0,0,0.453660892,0.496778267,4.3117375,27/11/1969,ruth.george.mp@parliament.uk,George,female,Ruth,7ccf6c78-df3d-4677-96ab-255abae0584d,https://upload.wikimedia.org/wikipedia/commons/f/ff/Official_portrait_of_Ruth_George_crop_2.jpg,"George, Ruth",NA,NA,27/11/1969,52,https://en.wikipedia.org/wiki/Ruth_George,University of Manchester,FALSE,3067.357213,NA,1332.772524,-1.651868975,54.30965433
Michelle Donelan,Conservative,Conservative,Chippenham,Female,0,0,0,0,1520,0,0,1520,1,0,0,0,0,E14000635,E12000009,Wiltshire,South West,England,County,09/06/2017 03:06,Con hold,Con,LD,76432,57140,210,16630,31267,11236,14637,0,0,0,0,0,0,0,0,0,0,0,0.54719986,0.196639832,29.1039552,08/04/1984,michelle.donelan.mp@parliament.uk,NA,female,Michelle,33e8219d-8365-4ea9-a3b6-b01b2cf01cc6,https://candidates.democracyclub.org.uk/media/images/5481e716b150e238702c04e3.png,"Donelan, Michelle",NA,NA,08/04/1984,37,https://en.wikipedia.org/wiki/Michelle_Donelan,University of York (BA)[1],FALSE,4126.356108,9779.38834,NA,-3.554664341,51.51457439
Heidi Allen,Lib Dem,Other,South Cambridgeshire,Female,0,0,0,0,0,1500,0,1500,0,0,1,0,0,E14000934,E12000006,Cambridgeshire,East,England,County,09/06/2017 02:27,Con hold,Con,Lab,85257,64924,166,15952,33631,17679,12102,0,1512,0,0,0,0,0,0,0,0,0,0.518005668,0.272303,24.5702668,18/01/1975,heidi.allen.mp@parliament.uk,Allen,female,Heidi,ef05a07a-5ce8-4e4f-9c71-7d528b357ff6,https://candidates.democracyclub.org.uk/media/images/images/4227_BkXTMcx.png,"Allen, Heidi",NA,NA,18/01/1975,46,https://en.wikipedia.org/wiki/Heidi_Allen,University College London (BSc),FALSE,3908.52554,NA,NA,-0.564555628,52.98283271
Wes Streeting,Labour,Labour,Ilford North,Male,0,0,0,0,0,0,1477,1477,0,1,0,0,0,E14000759,E12000007,London,London,England,Borough,09/06/2017 05:27,Lab hold,Lab,Con,72997,52941,111,9639,20950,30589,1034,0,0,0,0,0,0,0,0,0,368,0,0.395723541,0.577794148,18.2070607,21/01/1983,wes.streeting.mp@parliament.uk,NA,male,Wes,1a5f95ec-e9a3-43e7-aa1d-c070f5ec0d1e,https://candidates.democracyclub.org.uk/media/images/5481e821b150e238702c05a1.png,"Streeting, Wes",NA,NA,21/01/1983,38,https://en.wikipedia.org/wiki/Wes_Streeting,"Selwyn College, Cambridge",TRUE,3622.049312,NA,1431.303725,0.522755037,52.40135894
Pete Wishart,SNP,Other,Perth And North Perthshire,Male,0,0,0,0,0,0,1393.72,1393.72,0,0,0,0,1,S14000054,S92000003,Scotland,Scotland,Scotland,County,09/06/2017 03:12,SNP hold,SNP,Con,71762,51525,99,21,21783,5349,2589,0,0,21804,0,0,0,0,0,0,0,0,0.422765648,0.103813683,0.0407569,09/03/1962,wishartp@parliament.uk,Wishart,male,Peter,c7953c38-203e-40a5-a01b-09f5c26314c5,https://candidates.democracyclub.org.uk/media/images/54f423031be737cc3e2afa57.png,"Wishart, Pete",NA,NA,09/03/1962,59,https://en.wikipedia.org/wiki/Pete_Wishart,Moray House College of Education,FALSE,2914.576395,NA,NA,-3.826490034,57.70410307
Julia Dockerill,Conservative,Conservative,Hornchurch And Upminster,Female,0,0,0,0,1390,0,0,1390,1,0,0,0,0,E14000751,E12000007,London,London,England,Borough,09/06/2017 03:14,Con hold,Con,Lab,80802,56045,110,17723,33750,16027,1371,3502,1077,0,0,0,0,0,0,0,318,0,0.602194665,0.285966634,31.6228031,04/06/1984,julia.lopez.mp@parliament.uk,Lopez,female,Julia,2eb200ca-e5a7-40cb-b7c8-dee5f54352d7,https://upload.wikimedia.org/wikipedia/commons/4/4a/Official_portrait_of_Julia_Dockerill_crop_2.jpg,"Lopez, Julia",NA,NA,04/06/1984,37,https://en.wikipedia.org/wiki/Julia_Lopez_(politician),"Queens' College, Cambridge",TRUE,4252.583099,10570.80322,NA,0.794581977,52.10771151
Gordon Henderson,Conservative,Conservative,Sittingbourne And Sheppey,Male,0,0,0,0,1380,0,0,1380,1,0,0,0,0,E14000927,E12000008,Kent,South East,England,County,09/06/2017 03:16,Con hold,Con,Lab,81717,51389,77,15211,30911,15700,1392,0,558,0,0,0,0,0,0,0,2828,0,0.601510051,0.305512853,29.5997198,27/01/1948,gordon.henderson.mp@parliament.uk,Henderson,male,Gordon,b58880a5-4cad-412b-ac48-698f26ad6e8c,https://candidates.democracyclub.org.uk/media/images/55049c1dba680dc746e7d5c6.png,"Henderson, Gordon",NA,NA,27/01/1948,73,https://en.wikipedia.org/wiki/Gordon_Henderson_(politician),NA,NA,4150.90064,9930.326904,NA,1.610066871,51.41495787
Alan Brown,SNP,Other,Kilmarnock And Loudoun,Male,0,0,0,0,1350,0,0,1350,0,0,0,0,1,S14000040,S92000003,Scotland,Scotland,Scotland,County,09/06/2017 01:50,SNP hold,SNP,Lab,73327,46509,81,6269,12404,13421,994,0,0,19690,0,0,0,0,0,0,0,0,0.266701069,0.288567804,13.4791116,12/08/1970,alan.brown.mp@parliament.uk,Brown,male,Alan,e45858b5-7d54-4be5-8247-d1fe80d466b0,https://candidates.democracyclub.org.uk/media/images/54fde6381ccf185f0d8cc4b5.png,"Brown, Alan",NA,NA,12/08/1970,51,https://en.wikipedia.org/wiki/Alan_Brown_(Scottish_politician),University of Glasgow,FALSE,3422.877607,NA,NA,-3.554664341,56.22239876
Barbara Keeley,Labour,Labour,Worsley And Eccles South,Female,0,0,0,0,1345,0,0,1345,0,1,0,0,0,E14001054,E12000002,Greater Manchester,North West,England,County,09/06/2017 02:47,Lab hold,Lab,Con,73689,45642,115,8379,17667,26046,1087,0,842,0,0,0,0,0,0,0,0,0,0.387077692,0.570658604,18.3580912,26/03/1952,barbara.keeley.mp@parliament.uk,Keeley,female,Barbara,fde77dfc-5be9-448f-8626-7a1ca46661e6,https://candidates.democracyclub.org.uk/media/images/54aa655aae93cef57e34e665.png,"Keeley, Barbara",NA,NA,26/03/1952,69,https://en.wikipedia.org/wiki/Barbara_Keeley,University of Salford,FALSE,3628.599226,NA,1432.413753,-3.554664341,54.02884567
Desmond Swayne,Conservative,Conservative,New Forest West,Male,0,0,0,0,1340,0,0,1340,1,0,0,0,0,E14000828,E12000008,Hampshire,South East,England,County,09/06/2017 03:14,Con hold,Con,Lab,68786,49627,98,23431,33170,9739,4781,0,1454,0,0,0,0,0,0,0,483,0,0.668386161,0.19624398,47.2142181,20/08/1956,swayned@parliament.uk,Swayne,male,Desmond,79897675-ed28-438a-bb54-e3a8bed579a6,https://candidates.democracyclub.org.uk/media/images/5534f473b247335574a42e2b.png,"Swayne, Sir Desmond",The Right Honourable,NA,20/08/1956,65,https://en.wikipedia.org/wiki/Desmond_Swayne,University of St Andrews,FALSE,5124.535109,17112.11374,NA,-3.554664341,50.91361064
Michael Fabricant,Conservative,Conservative,Lichfield,Male,0,250,0,0,0,0,1049.6,1299.6,1,0,0,0,0,E14000791,E12000005,Staffordshire,West Midlands,England,County,09/06/2017 03:28,Con hold,Con,Lab,74430,53524,147,18581,34018,15437,2653,0,1416,0,0,0,0,0,0,0,0,0,0.635565354,0.288412675,34.7152679,12/06/1950,michael.fabricant.mp@parliament.uk,Fabricant,male,Michael,f78168c2-730b-44c1-9e64-b3c158e046aa,https://candidates.democracyclub.org.uk/media/images/55350639b247335574a42e5e.png,"Fabricant, Michael",NA,NA,12/06/1950,71,https://en.wikipedia.org/wiki/Michael_Fabricant,Loughborough UniversityUniversity of Sussex,FALSE,4412.848413,11630.56226,NA,-2.195521903,53.93481839
Robert Halfon,Conservative,Conservative,Harlow,Male,0,0,0,0,400,850,0,1250,1,0,0,0,0,E14000729,E12000006,Essex,East,England,County,09/06/2017 01:34,Con hold,Con,Lab,67699,44846,75,7031,24230,17199,970,1787,660,0,0,0,0,0,0,0,0,0,0.540293449,0.383512465,15.6780984,22/03/1969,halfon4harlow@roberthalfon.com,Halfon,male,Robert,1171194d-3997-4cd1-b859-9e8efaaaa534,https://candidates.democracyclub.org.uk/media/images/551b39e913eb34c82843cb5c.png,"Halfon, Robert",The Right Honourable,NA,22/03/1969,52,https://en.wikipedia.org/wiki/Robert_Halfon,University of Exeter,FALSE,3514.112882,6459.101386,NA,-0.020900444,52.59604334
Kerry McCarthy,Labour,Labour,Bristol East,Female,0,0,0,0,1240,0,0,1240,0,1,0,0,0,E14000599,E12000009,Avon,South West,England,Borough,09/06/2017 02:41,Lab hold,Lab,Con,72415,50799,133,13394,17453,30847,1389,0,1110,0,0,0,0,0,0,0,0,0,0.343569755,0.607236363,26.3666608,26/03/1965,kerry.mccarthy.mp@parliament.uk,McCarthy,female,Kerry,5010419c-68c3-423f-bbfa-a06f7ae77aa2,https://candidates.democracyclub.org.uk/media/images/550e9ae09253711a232cfb9b.png,"McCarthy, Kerry",NA,NA,26/03/1965,56,https://en.wikipedia.org/wiki/Kerry_McCarthy,University of LiverpoolLondon Guildhall UniversityUniversity of London,FALSE,3993.426653,NA,1492.524153,-4.098316465,51.31512395
